customer_id,first_name,last_name,gender,date_of_birth,city,state,customer_since,risk_rating
1,Fatima,Sadiq,Male,1988-08-09,Benin,Enugu,2015-04-11,Medium
2,Zainab,Adeyemi,Male,1979-03-18,Benin,FCT,2010-05-01,Medium
3,Yusuf,Sadiq,Female,2003-12-01,Abuja,Lagos,2017-11-05,Medium
4,Chinedu,Okeke,Male,2013-12-24,Benin,Kwara,2020-03-20,Low
5,Fatima,Adeyemi,Female,2008-01-11,Abuja,Kwara,2020-09-20,Low
6,Tunde,Sadiq,Female,1981-06-15,Ibadan,Anambra,2019-11-01,Medium
7,Ibrahim,Sadiq,Female,1997-11-30,Ibadan,FCT,2019-10-17,Low
8,Fatima,Okafor,Male,1985-03-20,Ibadan,Anambra,2022-04-14,Medium
9,Yusuf,Sadiq,Male,1981-05-23,Ilorin,Lagos,2016-08-11,Low
10,Chinedu,Abubakar,Female,1989-04-18,Onitsha,Anambra,2012-04-20,Medium
11,Zainab,Okeke,Female,2005-08-29,Awka,Oyo,2017-09-06,Low
12,Yusuf,Olawale,Female,2007-11-24,Lagos,FCT,2019-01-20,Low
13,Yusuf,Olawale,Male,2013-07-05,Ibadan,FCT,2019-05-27,Medium
14,Ibrahim,Olawale,Male,1988-11-11,Lagos,Kwara,2024-09-05,Medium
15,Sola,Okeke,Male,1993-09-21,Onitsha,Edo,2014-01-05,Low
16,Chinedu,Olawale,Female,2008-07-28,Ibadan,Anambra,2015-01-31,Low
17,Blessing,Okafor,Male,1990-11-16,Abuja,Kwara,2016-02-14,Medium
18,Yusuf,Okeke,Male,1984-08-21,Onitsha,Enugu,2011-02-08,High
19,Sola,Abubakar,Female,2002-08-13,Lagos,Anambra,2011-02-17,Low
20,Blessing,Adeyemi,Male,2001-03-14,Ilorin,Edo,2014-03-18,Low
21,Chinedu,Abubakar,Female,1989-09-09,Ibadan,Anambra,2021-08-20,Low
22,Adebayo,Okeke,Male,1987-04-19,Enugu,Edo,2010-08-05,High
23,Tunde,Okeke,Female,1984-01-17,Awka,Edo,2012-10-21,Low
24,Sola,Sadiq,Male,2012-09-05,Abuja,Lagos,2017-09-14,Low
25,Ngozi,Sadiq,Female,1992-12-30,Onitsha,Anambra,2023-05-27,Low
26,Adebayo,Sadiq,Male,1976-12-14,Onitsha,Kwara,2012-03-16,Medium
27,Tunde,Mohammed,Female,1988-10-23,Ibadan,Enugu,2019-03-04,High
28,Ibrahim,Mohammed,Female,1987-03-14,Onitsha,Edo,2023-10-18,Low
29,Fatima,Bello,Male,2004-09-22,Lagos,Anambra,2017-09-17,Low
30,Zainab,Mohammed,Male,1977-10-03,Benin,Anambra,2017-09-10,Low
31,Ngozi,Okafor,Female,2000-06-23,Ibadan,FCT,2013-06-25,Low
32,Ibrahim,Okeke,Male,1981-01-04,Abuja,FCT,2011-03-10,Low
33,Chinedu,Abubakar,Female,1981-06-20,Awka,Enugu,2011-03-05,High
34,Ibrahim,Okeke,Female,2010-09-13,Awka,Edo,2013-04-02,High
35,Fatima,Sadiq,Male,1990-09-08,Awka,FCT,2021-08-28,High
36,Chinedu,Okeke,Male,2000-05-22,Enugu,Oyo,2016-12-29,Low
37,Ngozi,Adeyemi,Male,1988-06-26,Benin,FCT,2016-05-01,Low
38,Fatima,Mohammed,Female,1999-09-23,Abuja,Oyo,2015-06-19,Medium
39,Blessing,Okeke,Female,2002-03-30,Enugu,Enugu,2015-11-28,Low
40,Zainab,Abubakar,Male,1987-05-27,Enugu,Oyo,2023-09-05,Low
41,Ngozi,Olawale,Female,1978-05-26,Onitsha,Enugu,2014-10-09,Low
